n,max_load
2,2
2,1
2,2
2,2
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,2
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,2
2,2
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,2
2,2
2,2
2,2
2,1
2,2
2,1
2,1
2,1
2,1
2,1
2,2
2,1
2,1
2,2
3,2
3,1
3,2
3,2
3,1
3,2
3,2
3,2
3,1
3,2
3,1
3,1
3,2
3,1
3,2
3,2
3,2
3,1
3,1
3,1
3,1
3,1
3,2
3,2
3,1
3,2
3,1
3,1
3,2
3,2
3,2
3,2
3,1
3,2
3,1
3,2
3,2
3,1
3,2
3,2
3,2
3,2
3,1
3,2
3,1
3,1
3,1
3,2
3,2
3,1
4,2
4,2
4,1
4,1
4,2
4,2
4,2
4,2
4,2
4,2
4,1
4,1
4,1
4,2
4,2
4,1
4,2
4,1
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,1
4,1
4,1
4,2
4,2
4,2
4,1
4,1
4,2
4,2
4,2
4,2
4,2
4,2
4,1
4,1
4,2
4,1
4,1
4,2
4,2
4,2
4,1
5,1
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,3
5,2
5,2
5,3
5,2
5,2
5,2
5,2
5,2
5,2
5,3
5,2
5,1
5,2
5,1
5,2
5,2
5,3
5,2
5,1
5,2
5,1
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,1
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,1
6,2
6,2
6,2
6,2
6,1
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,3
6,1
6,2
6,3
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,1
6,2
6,1
6,2
6,2
6,2
6,2
6,2
6,2
6,3
6,2
6,2
6,2
6,2
7,3
7,3
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,3
7,2
7,2
7,2
7,2
7,1
7,2
7,1
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,1
7,2
7,2
7,3
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
8,2
8,1
8,2
8,2
8,2
8,2
8,2
8,2
8,1
8,3
8,2
8,2
8,2
8,2
8,2
8,2
8,2
8,3
8,2
8,2
8,2
8,2
8,3
8,2
8,2
8,2
8,2
8,1
8,2
8,2
8,2
8,2
8,2
8,2
8,2
8,2
8,2
8,2
8,2
8,2
8,2
8,2
8,2
8,2
8,2
8,2
8,2
8,1
8,2
8,2
9,2
9,2
9,1
9,3
9,2
9,2
9,2
9,2
9,2
9,2
9,2
9,2
9,2
9,1
9,2
9,2
9,2
9,2
9,2
9,2
9,2
9,2
9,3
9,2
9,2
9,2
9,1
9,2
9,2
9,2
9,3
9,2
9,2
9,2
9,2
9,2
9,2
9,2
9,2
9,2
9,2
9,3
9,2
9,2
9,2
9,2
9,2
9,3
9,2
9,2
10,3
10,3
10,3
10,2
10,2
10,2
10,2
10,2
10,2
10,2
10,3
10,2
10,3
10,2
10,1
10,2
10,2
10,2
10,2
10,2
10,2
10,2
10,2
10,2
10,2
10,3
10,2
10,1
10,2
10,2
10,2
10,2
10,2
10,2
10,2
10,2
10,2
10,1
10,1
10,2
10,1
10,2
10,2
10,2
10,2
10,2
10,2
10,1
10,2
10,2
11,2
11,2
11,2
11,2
11,3
11,2
11,2
11,2
11,2
11,2
11,2
11,2
11,2
11,2
11,2
11,2
11,2
11,2
11,2
11,2
11,2
11,2
11,2
11,2
11,3
11,2
11,2
11,2
11,2
11,2
11,2
11,2
11,2
11,4
11,3
11,2
11,2
